hostname,modulename,modulepath
SC846OGQ,CHDRT64.sys,C:\Windows\System32\drivers\
SC846OGQ,asyncmac.sys,C:\Windows\System32\drivers\
SC846OGQ,esif_lf.sys,C:\Windows\System32\drivers\
SC846OGQ,WUDFPf.sys,C:\Windows\System32\drivers\
SC846OGQ,rhproxy.sys,C:\Windows\System32\drivers\
SC846OGQ,Synth3dVsc.sys,C:\Windows\System32\drivers\
SC846OGQ,vhdmp.sys,C:\Windows\System32\drivers\
SC846OGQ,HpSAMD.sys,C:\Windows\System32\drivers\
SC846OGQ,iaLPSS2i_GPIO2_BXT_P.sys,C:\Windows\System32\drivers\
SC846OGQ,iaStorV.sys,C:\Windows\System32\drivers\
SC846OGQ,vmbus.sys,C:\Windows\System32\drivers\
SC846OGQ,filetrace.sys,C:\Windows\System32\drivers\
SC846OGQ,amdppm.sys,C:\Windows\System32\drivers\
SC846OGQ,ETDSMBus.sys,C:\Windows\System32\drivers\
SC846OGQ,ramdisk.sys,C:\Windows\System32\drivers\
SC846OGQ,iaLPSS2i_I2C_BXT_P.sys,C:\Windows\System32\drivers\
SC846OGQ,http.sys,C:\Windows\System32\drivers\
SC846OGQ,WdBoot.sys,C:\Windows\System32\drivers\wd\
SC846OGQ,filecrypt.sys,C:\Windows\System32\drivers\
SC846OGQ,bthenum.sys,C:\Windows\System32\drivers\
SC846OGQ,mshidumdf.sys,C:\Windows\System32\drivers\
SC846OGQ,bthhfenum.sys,C:\Windows\System32\drivers\
SC846OGQ,SpbCx.sys,C:\Windows\System32\drivers\
SC846OGQ,BasicDisplay.sys,C:\Windows\System32\drivers\
SC846OGQ,mshidkmdf.sys,C:\Windows\System32\drivers\
SC846OGQ,pdc.sys,C:\Windows\System32\drivers\
SC846OGQ,HyperVideo.sys,C:\Windows\System32\drivers\
SC846OGQ,winmad.sys,C:\Windows\System32\drivers\
SC846OGQ,fdc.sys,C:\Windows\System32\drivers\
SC846OGQ,urscx01000.sys,C:\Windows\System32\drivers\
SC846OGQ,sfloppy.sys,C:\Windows\System32\drivers\
SC846OGQ,mssmbios.sys,C:\Windows\System32\drivers\
SC846OGQ,urssynopsys.sys,C:\Windows\System32\drivers\
SC846OGQ,partmgr.sys,C:\Windows\System32\drivers\
SC846OGQ,bthport.sys,C:\Windows\System32\drivers\
SC846OGQ,vmgencounter.sys,C:\Windows\System32\drivers\
SC846OGQ,condrv.sys,C:\Windows\System32\drivers\
SC846OGQ,mlx4_bus.sys,C:\Windows\System32\drivers\
SC846OGQ,msgpioclx.sys,C:\Windows\System32\drivers\
SC846OGQ,hidinterrupt.sys,C:\Windows\System32\drivers\
SC846OGQ,sdbus.sys,C:\Windows\System32\drivers\
SC846OGQ,disk.sys,C:\Windows\System32\drivers\
SC846OGQ,storqosflt.sys,C:\Windows\System32\drivers\
SC846OGQ,IntcDAud.sys,C:\Windows\System32\drivers\
