hostname,modulename,modulepath
540TIMSW,acpitime.sys,C:\Windows\System32\drivers\
540TIMSW,wanarp.sys,C:\Windows\System32\drivers\
540TIMSW,hwpolicy.sys,C:\Windows\System32\drivers\
540TIMSW,winmad.sys,C:\Windows\System32\drivers\
540TIMSW,bxois.sys,C:\Windows\System32\drivers\
540TIMSW,mshidumdf.sys,C:\Windows\System32\drivers\
540TIMSW,disk.sys,C:\Windows\System32\drivers\
540TIMSW,sdbus.sys,C:\Windows\System32\drivers\
540TIMSW,sfloppy.sys,C:\Windows\System32\drivers\
540TIMSW,raspptp.sys,C:\Windows\System32\drivers\
540TIMSW,mountmgr.sys,C:\Windows\System32\drivers\
540TIMSW,fxppm.sys,C:\Windows\System32\drivers\
540TIMSW,tpm.sys,C:\Windows\System32\drivers\
540TIMSW,UCX01000.SYS,C:\Windows\System32\drivers\
540TIMSW,ndiswan.sys,C:\Windows\System32\drivers\
540TIMSW,SerCx.sys,C:\Windows\System32\drivers\
540TIMSW,MTConfig.sys,C:\Windows\System32\drivers\
540TIMSW,raspppoe.sys,C:\Windows\System32\drivers\
540TIMSW,nvraid.sys,C:\Windows\System32\drivers\
540TIMSW,rdpdr.sys,C:\Windows\System32\drivers\
540TIMSW,fdc.sys,C:\Windows\System32\drivers\
540TIMSW,tsusbhub.sys,C:\Windows\System32\drivers\
540TIMSW,mpsdrv.sys,C:\Windows\System32\drivers\
540TIMSW,xenvbd.sys,C:\Windows\System32\drivers\
540TIMSW,EC2WinUtilDriver.sys,C:\Windows\System32\drivers\
540TIMSW,cht4vx64.sys,C:\Windows\System32\drivers\
540TIMSW,rdbss.sys,C:\Windows\System32\drivers\
540TIMSW,rspndr.sys,C:\Windows\System32\drivers\
540TIMSW,lsi_sas.sys,C:\Windows\System32\drivers\
540TIMSW,ndiscap.sys,C:\Windows\System32\drivers\
540TIMSW,hyperkbd.sys,C:\Windows\System32\drivers\
540TIMSW,acpipmi.sys,C:\Windows\System32\drivers\
540TIMSW,vxn64x64.sys,C:\Windows\System32\drivers\
540TIMSW,rasacd.sys,C:\Windows\System32\drivers\
540TIMSW,xeniface.sys,C:\Windows\System32\drivers\
540TIMSW,terminpt.sys,C:\Windows\System32\drivers\
540TIMSW,storahci.sys,C:\Windows\System32\drivers\
540TIMSW,lsass.exe,C:\Windows\System32\
540TIMSW,serenum.sys,C:\Windows\System32\drivers\
540TIMSW,1394ohci.sys,C:\Windows\System32\drivers\
540TIMSW,atapi.sys,C:\Windows\System32\drivers\
540TIMSW,bfadfcoei.sys,C:\Windows\System32\drivers\
540TIMSW,usbohci.sys,C:\Windows\System32\drivers\
540TIMSW,xenbus.sys,C:\Windows\System32\drivers\
540TIMSW,AGP440.sys,C:\Windows\System32\drivers\
540TIMSW,umpass.sys,C:\Windows\System32\drivers\
540TIMSW,ipfltdrv.sys,C:\Windows\System32\drivers\
540TIMSW,ndfltr.sys,C:\Windows\System32\drivers\
540TIMSW,pcmcia.sys,C:\Windows\System32\drivers\
540TIMSW,mvumis.sys,C:\Windows\System32\drivers\
540TIMSW,ql2300i.sys,C:\Windows\System32\drivers\
540TIMSW,usbhub.sys,C:\Windows\System32\drivers\
540TIMSW,wmiacpi.sys,C:\Windows\System32\drivers\
540TIMSW,amdppm.sys,C:\Windows\System32\drivers\
540TIMSW,winverbs.sys,C:\Windows\System32\drivers\
540TIMSW,sisraid2.sys,C:\Windows\System32\drivers\
540TIMSW,kdnic.sys,C:\Windows\System32\drivers\
540TIMSW,usbprint.sys,C:\Windows\System32\drivers\
540TIMSW,npsvctrig.sys,C:\Windows\System32\drivers\
540TIMSW,ahcache.sys,C:\Windows\System32\drivers\
540TIMSW,amdsata.sys,C:\Windows\System32\drivers\
540TIMSW,UAGP35.SYS,C:\Windows\System32\drivers\
540TIMSW,evbda.sys,C:\Windows\System32\drivers\
540TIMSW,afd.sys,C:\Windows\System32\drivers\
540TIMSW,ksecdd.sys,C:\Windows\System32\drivers\
540TIMSW,stexstor.sys,C:\Windows\System32\drivers\
540TIMSW,lsi_sas2.sys,C:\Windows\System32\drivers\
540TIMSW,uefi.sys,C:\Windows\System32\drivers\
540TIMSW,amdk8.sys,C:\Windows\System32\drivers\
540TIMSW,WUDFPf.sys,C:\Windows\System32\drivers\
540TIMSW,vdrvroot.sys,C:\Windows\System32\drivers\
540TIMSW,msiscsi.sys,C:\Windows\System32\drivers\
540TIMSW,PEAuth.sys,C:\Windows\System32\drivers\
540TIMSW,tdx.sys,C:\Windows\System32\drivers\
540TIMSW,GAGP30KX.SYS,C:\Windows\System32\drivers\
540TIMSW,srv.sys,C:\Windows\System32\drivers\
540TIMSW,srvnet.sys,C:\Windows\System32\drivers\
540TIMSW,VMBusHID.sys,C:\Windows\System32\drivers\
540TIMSW,TsUsbGD.sys,C:\Windows\System32\drivers\
540TIMSW,cdfs.sys,C:\Windows\System32\drivers\
540TIMSW,mrxsmb10.sys,C:\Windows\System32\drivers\
540TIMSW,IPMIDrv.sys,C:\Windows\System32\drivers\
540TIMSW,vpci.sys,C:\Windows\System32\drivers\
540TIMSW,fileinfo.sys,C:\Windows\System32\drivers\
540TIMSW,flpydisk.sys,C:\Windows\System32\drivers\
540TIMSW,errdev.sys,C:\Windows\System32\drivers\
540TIMSW,netvsc63.sys,C:\Windows\System32\drivers\
540TIMSW,clfs.sys,C:\Windows\System32\drivers\
540TIMSW,wfplwfs.sys,C:\Windows\System32\drivers\
540TIMSW,nvstor.sys,C:\Windows\System32\drivers\
540TIMSW,ibbus.sys,C:\Windows\System32\drivers\
