hostname,pid,name,md5sum,signatureexists,signatureverified,description,certificatesubject,certificateissuer
857OJQNC,652,C:\Windows\System32\dhcpcsvc.dll,020003f2be2c0d3aa4eccce8a0b8ebdd,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
857OJQNC,6312,C:\Windows\System32\drttransport.dll,c32292e1c1fc53c5e51c292e79d447c1,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
857OJQNC,980,C:\Windows\system32\dllhost.exe,571591059044cdff8b5eafe2c013b15a,false,false,,,
857OJQNC,1328,C:\Windows\System32\ws2_32.dll,0b83445f324d121f5202d5f7e6c63d2c,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
857OJQNC,2840,C:\Windows\System32\user32.dll,fb595255927b7bb336362fe7a9f5424a,true,true,The file is signed and the signature was verified.,Microsoft Windows,
857OJQNC,2000,C:\Windows\System32\psapi.dll,6c666e8143c5e91c19e77582d509c5c3,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
857OJQNC,3220,C:\Windows\System32\apisetschema.dll,175f502332c5ad73d3725598e5e1c4e2,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
857OJQNC,1904,C:\Windows\System32\dssenh.dll,1b11a6e30c43c3610111dc39e704b2b1,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
857OJQNC,6488,C:\Windows\System32\ws2_32.dll,0b83445f324d121f5202d5f7e6c63d2c,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
857OJQNC,2000,C:\Windows\System32\xmllite.dll,e485a25b250e79930bfb21f58b3e24e3,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
857OJQNC,1644,C:\Windows\System32\user32.dll,fb595255927b7bb336362fe7a9f5424a,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
857OJQNC,3220,C:\Windows\System32\locale.nls,14a2e2b7b568db856b6beda57cd2bc6b,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
857OJQNC,916,C:\Windows\System32\usp10.dll,da3b924fcb7b77b207d2dec2f7800d12,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
857OJQNC,916,C:\Windows\System32\KernelBase.dll,b07e450d1f9cb1d7b58edc143d09f2fe,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
857OJQNC,2840,C:\Windows\System32\msvcrt.dll,294b1800064acbbf5b40e413c7bc7bca,true,true,The file is signed and the signature was verified.,Microsoft Windows,
857OJQNC,6488,C:\Windows\System32\xmllite.dll,e485a25b250e79930bfb21f58b3e24e3,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
857OJQNC,6312,C:\Windows\System32\msasn1.dll,34f714682dcf98a7e323058d459cfcda,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
857OJQNC,3380,C:\Windows\System32\bcrypt.dll,f26114943cc88960601570151098b61b,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
857OJQNC,5324,C:\Windows\System32\credssp.dll,1903d7dc9bc6c02ba127122d8c41f584,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
857OJQNC,652,C:\Windows\System32\msctf.dll,63edf7b1dc91a0c6443ebb6821a1c0fc,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
857OJQNC,3780,C:\Windows\System32\imm32.dll,a18364cea8c3a13940c32881ef07996e,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
857OJQNC,3220,C:\Windows\System32\gdi32.dll,b5a8640aa9e03089f335bec836faff7a,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
857OJQNC,1644,C:\Windows\System32\ole32.dll,ed2c6cee685ee9d859e431b01b75ba4b,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
