hostname,pid,name,md5sum,signatureexists,signatureverified,description,certificatesubject,certificateissuer
994LJYNN,2644,C:\Windows\System32\wininit.exe,7136c2d7759715211bff3467f03fdf69,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
994LJYNN,5252,C:\Windows\System32\mswsock.dll,5496f47c3c2df1a1c62816b4d4daa61c,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
994LJYNN,2756,C:\Windows\System32\nsi.dll,fc2b8c840d2aa06748dd7a27e1aa5877,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
994LJYNN,5252,C:\Windows\System32\en-US\stobject.dll.mui,3c3a21b031ef11f0637e1fb9b55fbebb,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
994LJYNN,3812,C:\Windows\System32\esent.dll,d06780dcd371c740aeb18c397cc14d18,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
994LJYNN,2756,C:\Windows\System32\pnrpsvc.dll,e381018ec5d492e722dacab473ba0853,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
994LJYNN,5252,C:\Windows\System32\mpr.dll,97abec10310037ce6e31cb15d526bff9,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
994LJYNN,5252,C:\Windows\System32\crypt32.dll,a5b0aaab9e84a510c7f869c6fcadabd6,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
994LJYNN,2644,C:\Windows\System32\apisetschema.dll,90f239f2b520201bd5e0a448267412e9,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
994LJYNN,3812,C:\Windows\System32\gdi32.dll,0ffc94a8d8472d5ac532e294ad175c2f,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
994LJYNN,3812,C:\Windows\System32\ntdll.dll,e85d2e1bc14b0f85a407eeb897db3308,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
994LJYNN,568,C:\Windows\System32\rasadhlp.dll,c8ca9d6ab359ca2b21979f4a40845dc6,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
994LJYNN,3748,C:\Windows\System32\SensApi.dll,a260e4a08c7a4d33d9fe32c97a4db565,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
994LJYNN,656,C:\Windows\System32\RpcRtRemote.dll,8d1277fa9104b4000b48fda0125ecebc,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
994LJYNN,3812,C:\Windows\System32\nsi.dll,fc2b8c840d2aa06748dd7a27e1aa5877,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
994LJYNN,3936,C:\Windows\System32\RpcRtRemote.dll,8d1277fa9104b4000b48fda0125ecebc,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
994LJYNN,2756,C:\Windows\System32\oleaut32.dll,fa52e4c77953fdbcecfb110422a78409,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
994LJYNN,2756,C:\Windows\System32\sechost.dll,ef7651988ea401224302552a3100bf4c,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
994LJYNN,3812,C:\Windows\System32\IPHLPAPI.DLL,ca5fc6c68f8b228bc9943a712f8194a1,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
994LJYNN,6340,C:\Windows\System32\KernelBase.dll,db1bceb8b03fa499eb8f03be644564ab,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
994LJYNN,5252,C:\Windows\System32\SndVolSSO.dll,59049b9089961a5b28922a0f9aa5030b,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
994LJYNN,5636,C:\Windows\System32\drttransport.dll,3b8c1665b964366e88e93c66cdb592be,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
994LJYNN,5252,C:\Windows\System32\gpapi.dll,8d40043d9d1272bced8607640c1efe21,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
994LJYNN,2756,C:\Windows\System32\user32.dll,fb595255927b7bb336362fe7a9f5424a,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
994LJYNN,1996,C:\Windows\System32\sspicli.dll,f1025c7cbc115896197750cc4edd57cc,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
994LJYNN,5636,C:\Windows\System32\ntmarta.dll,2c6e676646dfa8ff85321b171045905c,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
994LJYNN,5252,C:\Windows\System32\uxtheme.dll,fbf4fd9ec05159b807fc80e81a5e7e64,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
