hostname,keypath,type,valuename,username,path,text
NB788FJD,Wow6432Node\Classes\CLSID\{681FD532-7EC2-4548-9ECE-44AABCFBD254}\InProcServer32,REG_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Wow6432Node\Classes\CLSID\{681FD532-7EC2-4548-9ECE-44AABCFBD254}\InProcServer32\,C:\Windows\SysWOW64\FunDisc.dll
NB788FJD,Classes\CLSID\{06290BD1-48AA-11D2-8432-006008C3FBFC}\InProcServer32,REG_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{06290BD1-48AA-11D2-8432-006008C3FBFC}\InProcServer32\,C:\Windows\system32\scrobj.dll
NB788FJD,Classes\CLSID\{905b55a8-77f0-4d28-80dd-e46b1412343f}\InProcServer32,REG_EXPAND_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{905b55a8-77f0-4d28-80dd-e46b1412343f}\InProcServer32\,%SystemRoot%\system32\shell32.dll
NB788FJD,Classes\CLSID\{37B03544-A4C8-11D2-B634-00C04F79498E}\InProcServer32,REG_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{37B03544-A4C8-11D2-B634-00C04F79498E}\InProcServer32\,C:\Windows\System32\msvidctl.dll
NB788FJD,Classes\CLSID\{CF3D2E50-53F2-11D2-960C-00C04F8EE628}\InProcServer32,REG_EXPAND_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{CF3D2E50-53F2-11D2-960C-00C04F8EE628}\InProcServer32\,%SystemRoot%\System32\Speech\Common\sapi.dll
NB788FJD,Classes\CLSID\{C79A574C-63BE-44b9-801F-283F87F898BE}\InProcServer32,REG_EXPAND_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{C79A574C-63BE-44b9-801F-283F87F898BE}\InProcServer32\,%SystemRoot%\System32\Speech\Common\sapi.dll
NB788FJD,Classes\CLSID\{E0CBC546-8950-43DD-99A9-A418DB7DD0B5}\InProcServer32,REG_EXPAND_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{E0CBC546-8950-43DD-99A9-A418DB7DD0B5}\InProcServer32\,%SystemRoot%\system32\WLanConn.dll
NB788FJD,Classes\CLSID\{3D813DFE-6C91-4A4E-8F41-04346A841D9C}\InProcServer32,REG_EXPAND_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{3D813DFE-6C91-4A4E-8F41-04346A841D9C}\InProcServer32\,%SystemRoot%\System32\msxml3.dll
NB788FJD,CurrentControlSet\Services\WinSock2\Parameters\Protocol_Catalog9\Catalog_Entries\000000000010\,REG_BINARY,PackedCatalogItem,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\WinSock2\Parameters\Protocol_Catalog9\Catalog_Entries\000000000010\PackedCatalogItem,%SystemRoot%\system32\mswsock.dll....................................................................................................................................................................................................................................&amp;....................`.z3..........................................................................................@.%.S.y.s.t.e.m.R.o.o.t.%.\.S.y.s.t.e.m.3.2.\.w.s.h.q.o.s...d.l.l. .-.1.0.3.....................................................................................................................................................................................................................................................................................................................................................................................................................................................
NB788FJD,Classes\CLSID\{60fd46de-f830-4894-a628-6fa81bc0190d}\InProcServer32,REG_EXPAND_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{60fd46de-f830-4894-a628-6fa81bc0190d}\InProcServer32\,%SystemRoot%\system32\photowiz.dll
NB788FJD,Classes\CLSID\{0A56C6F4-527A-4E21-96DB-B87B60CF46E3}\InProcServer32,REG_SZ,,BUILTIN\Administrators,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{0A56C6F4-527A-4E21-96DB-B87B60CF46E3}\InProcServer32\,c:\PROGRA~1\COMMON~1\mcafee\msgsdk\USRENV~1.DLL
NB788FJD,Classes\CLSID\{EAE826D3-ECB5-49ff-BC55-7B318E78C6DD}\InProcServer32,REG_EXPAND_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{EAE826D3-ECB5-49ff-BC55-7B318E78C6DD}\InProcServer32\,%SystemRoot%\System32\dot3dlg.dll
NB788FJD,Classes\CLSID\{992CFFA0-F557-101A-88EC-00DD010CCC48}\InProcServer32,REG_EXPAND_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{992CFFA0-F557-101A-88EC-00DD010CCC48}\InProcServer32\,%SystemRoot%\System32\netshell.dll
NB788FJD,Classes\CLSID\{C5C5C5F1-3ABC-11D6-B25B-00C04FA0C026}\InProcServer32,REG_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{C5C5C5F1-3ABC-11D6-B25B-00C04FA0C026}\InProcServer32\,C:\Windows\System32\tvratings.dll
NB788FJD,Classes\CLSID\{4f6bcd94-c2a5-42ce-8dbc-31e794be4630}\InProcServer32,REG_EXPAND_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{4f6bcd94-c2a5-42ce-8dbc-31e794be4630}\InProcServer32\,%SystemRoot%\System32\shacct.dll
NB788FJD,Classes\CLSID\{6BC09898-0CE6-11D1-BAAE-00C04FC2E20D}\InProcServer32,REG_EXPAND_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{6BC09898-0CE6-11D1-BAAE-00C04FC2E20D}\InProcServer32\,%SystemRoot%\system32\iassam.dll
NB788FJD,Classes\CLSID\{C5C5C5F0-3ABC-11D6-B25B-00C04FA0C026}\InProcServer32,REG_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{C5C5C5F0-3ABC-11D6-B25B-00C04FA0C026}\InProcServer32\,C:\Windows\System32\tvratings.dll
NB788FJD,Classes\CLSID\{7b9e38b0-a97c-11d0-8534-00c04fd8d503}\InProcServer32,REG_EXPAND_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{7b9e38b0-a97c-11d0-8534-00c04fd8d503}\InProcServer32\,%SystemRoot%\system32\activeds.dll
NB788FJD,Classes\CLSID\{C3A43F75-FE02-47d8-B3EE-0B568C0C5043}\InProcServer32,REG_EXPAND_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{C3A43F75-FE02-47d8-B3EE-0B568C0C5043}\InProcServer32\,%SystemRoot%\System32\werconcpl.dll
NB788FJD,Classes\CLSID\{8a7cae0e-5951-49cb-bf20-ab3fa1e44b01}\InProcServer32,REG_EXPAND_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{8a7cae0e-5951-49cb-bf20-ab3fa1e44b01}\InProcServer32\,%SystemRoot%\system32\fontext.dll
NB788FJD,Classes\CLSID\{76EFD608-E0CE-4887-98E2-F931363C4BC5}\InProcServer32,REG_EXPAND_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{76EFD608-E0CE-4887-98E2-F931363C4BC5}\InProcServer32\,%SystemRoot%\System32\AuxiliaryDisplayDriverLib.dll
NB788FJD,Wow6432Node\Classes\CLSID\{AC29BAF7-7EFF-4A82-8B29-76B1A3E27A6D}\InProcServer32,REG_SZ,,BUILTIN\Administrators,HKEY_LOCAL_MACHINE\Software\Wow6432Node\Classes\CLSID\{AC29BAF7-7EFF-4A82-8B29-76B1A3E27A6D}\InProcServer32\,C:\Program Files\Common Files\McAfee\ClientAnalytics\win32\ComAPIProxy.dll
NB788FJD,Classes\CLSID\{7B3BC2A0-AA50-4ae7-BD44-B03649EC87C2}\InProcServer32,REG_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{7B3BC2A0-AA50-4ae7-BD44-B03649EC87C2}\InProcServer32\,C:\Windows\System32\WSTPager.ax
NB788FJD,Wow6432Node\Classes\CLSID\{5CE34C0D-0DC9-4C1F-897C-DAA1B78CEE7C}\InProcServer32,REG_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Wow6432Node\Classes\CLSID\{5CE34C0D-0DC9-4C1F-897C-DAA1B78CEE7C}\InProcServer32\,C:\Windows\SysWOW64\qmgrprxy.dll
NB788FJD,Wow6432Node\Microsoft\Internet Explorer\Extensions\{48A61126-9A19-4C50-A214-FF08CB94995C}\,REG_SZ,HotIcon,BUILTIN\Administrators,HKEY_LOCAL_MACHINE\Software\Wow6432Node\Microsoft\Internet Explorer\Extensions\{48A61126-9A19-4C50-A214-FF08CB94995C}\HotIcon,C:\Program Files\McAfee\WebAdvisor\WebAdvisor.ico
NB788FJD,Classes\CLSID\{A96434FF-30F1-430E-B568-DCCCB831FFCE}\InProcServer32,REG_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{A96434FF-30F1-430E-B568-DCCCB831FFCE}\InProcServer32\,C:\Windows\eHome\ehjpnime.dll
NB788FJD,Classes\CLSID\{6E65CBC5-926D-11D0-8E27-00C04FC99DCF}\InProcServer32,REG_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{6E65CBC5-926D-11D0-8E27-00C04FC99DCF}\InProcServer32\,C:\Windows\system32\rascfg.dll
NB788FJD,Classes\CLSID\{E8C19781-29C1-4B08-9004-4F1BF947CCE9}\InProcServer32,REG_SZ,,BUILTIN\Administrators,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{E8C19781-29C1-4B08-9004-4F1BF947CCE9}\InProcServer32\,C:\Program Files\Common Files\McAfee\PEF\CORE\PEFWebObjects.dll
NB788FJD,Classes\CLSID\{D10DF471-8E15-4524-A8B6-00779A1231FD}\InProcServer32,REG_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{D10DF471-8E15-4524-A8B6-00779A1231FD}\InProcServer32\,C:\Windows\eHome\ehGLID.dll
NB788FJD,Classes\CLSID\{77FAEBF1-5708-4413-8CF1-2F92F75EE71D}\InProcServer32,REG_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{77FAEBF1-5708-4413-8CF1-2F92F75EE71D}\InProcServer32\,C:\Windows\ehome\ehReplay.dll
NB788FJD,Classes\CLSID\{C4C4C492-0049-4E2B-98FB-9537F6CE516D}\InProcServer32,REG_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{C4C4C492-0049-4E2B-98FB-9537F6CE516D}\InProcServer32\,C:\Windows\System32\EncDec.dll
NB788FJD,Classes\CLSID\{4BE5C3B3-53A2-4F2F-AF9D-D26A5327EB92}\InProcServer32,REG_EXPAND_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{4BE5C3B3-53A2-4F2F-AF9D-D26A5327EB92}\InProcServer32\,%SystemRoot%\system32\ime\imekr8\Applets\imkrskf.dll
NB788FJD,CurrentControlSet\Services\AcpiPmi\,REG_EXPAND_SZ,ImagePath,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\AcpiPmi\ImagePath,\SystemRoot\system32\drivers\acpipmi.sys
