hostname,name,virtualpath,creator,comment,accountrunlevel,accountlogontype,execprogrampath,execarguments,signatureexists,signatureverified,description,certificatesubject,certificateissuer
WC781VXC,DmClientOnScenarioDownload,\Microsoft\Windows\Feedback\Siuf\DmClientOnScenarioDownload,Microsoft Windows Feedback,Update SIUF strings,TASK_RUNLEVEL_HIGHEST,TASK_LOGON_SERVICE_ACCOUNT,%windir%\system32\dmclient.exe,utcwnf,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Production PCA 2011
WC781VXC,BackgroundUploadTask,\Microsoft\Windows\SettingSync\BackgroundUploadTask,,,TASK_RUNLEVEL_LUA,TASK_LOGON_GROUP,,,,,,,
WC781VXC,FamilySafetyMonitor,\Microsoft\Windows\Shell\FamilySafetyMonitor,Microsoft Corporation,Initializes Family Safety monitoring and enforcement.,TASK_RUNLEVEL_HIGHEST,TASK_LOGON_SERVICE_ACCOUNT,%windir%\System32\wpcmon.exe,,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Production PCA 2011
WC781VXC,StorageSense,\Microsoft\Windows\DiskFootprint\StorageSense,,,TASK_RUNLEVEL_HIGHEST,TASK_LOGON_GROUP,,,,,,,
WC781VXC,DsSvcCleanup,\Microsoft\Windows\ApplicationData\DsSvcCleanup,Microsoft Corporation,Performs maintenance for the Data Sharing Service.,TASK_RUNLEVEL_LUA,TASK_LOGON_SERVICE_ACCOUNT,%windir%\system32\dstokenclean.exe,,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Production PCA 2011
WC781VXC,McAfee Remediation (Prepare),\McAfee Remediation (Prepare),,,TASK_RUNLEVEL_HIGHEST,TASK_LOGON_GROUP,C:\Program Files\Common Files\AV\McAfee VirusScan\upgrade.exe,/prepare,true,true,The file is signed and the signature was verified.,"""McAfee",VeriSign Class 3 Code Signing 2010 CA
WC781VXC,BgTaskRegistrationMaintenanceTask,\Microsoft\Windows\BrokerInfrastructure\BgTaskRegistrationMaintenanceTask,Microsoft Corporation,Maintains registrations for background tasks for Universal Windows Platform applications.,TASK_RUNLEVEL_HIGHEST,TASK_LOGON_SERVICE_ACCOUNT,,,,,,,
WC781VXC,RegisterUserDevice,\Microsoft\Windows\DeviceDirectoryClient\RegisterUserDevice,,,TASK_RUNLEVEL_LUA,TASK_LOGON_GROUP,,,,,,,
WC781VXC,SilentCleanup,\Microsoft\Windows\DiskCleanup\SilentCleanup,Microsoft Corporation,Maintenance task used by the system to launch a silent auto disk cleanup when running low on free disk space.,TASK_RUNLEVEL_HIGHEST,TASK_LOGON_GROUP,%windir%\system32\cleanmgr.exe,/autoclean /d %systemdrive%,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Production PCA 2011
WC781VXC,Logon Synchronization,\Microsoft\Windows\Offline Files\Logon Synchronization,Microsoft Corporation,This task initiates synchronization of Offline Files when a user logs onto the system.,TASK_RUNLEVEL_LUA,TASK_LOGON_GROUP,,,,,,,
WC781VXC,NetworkStateChangeTask,\Microsoft\Windows\SettingSync\NetworkStateChangeTask,,,TASK_RUNLEVEL_LUA,TASK_LOGON_GROUP,,,,,,,
WC781VXC,Calibration Loader,\Microsoft\Windows\WindowsColorSystem\Calibration Loader,Microsoft Corporation,This task applies color calibration settings.,TASK_RUNLEVEL_LUA,TASK_LOGON_GROUP,,,,,,,
WC781VXC,DAD.Execute.Updates,\McAfee\DAD.Execute.Updates,McAfee,,TASK_RUNLEVEL_HIGHEST,TASK_LOGON_SERVICE_ACCOUNT,"""C:\Program Files\Common Files\McAfee\DynamicAppDownloader\DADUpdater.exe""",,,,,,
WC781VXC,StartComponentCleanup,\Microsoft\Windows\Servicing\StartComponentCleanup,,,TASK_RUNLEVEL_HIGHEST,TASK_LOGON_SERVICE_ACCOUNT,,,,,,,
WC781VXC,ProcessMemoryDiagnosticEvents,\Microsoft\Windows\MemoryDiagnostic\ProcessMemoryDiagnosticEvents,Microsoft Corporation,Schedules a memory diagnostic in response to system events.,TASK_RUNLEVEL_HIGHEST,TASK_LOGON_GROUP,,,,,,,
WC781VXC,EDP Auth Task,\Microsoft\Windows\EDP\EDP Auth Task,,,TASK_RUNLEVEL_LUA,TASK_LOGON_GROUP,,,,,,,
WC781VXC,CreateObjectTask,\Microsoft\Windows\Shell\CreateObjectTask,Microsoft Corporation,Provides support for shell components that access system data,TASK_RUNLEVEL_LUA,TASK_LOGON_SERVICE_ACCOUNT,,,,,,,
WC781VXC,McInstruTrack,\McInstruTrack,McAfee,McInstruTrack,TASK_RUNLEVEL_HIGHEST,TASK_LOGON_GROUP,"%PROGRAMDATA%\McAfee\McInstruTrack\McInstruTrack.exe""",,,,,,
WC781VXC,VerifyWinRE,\Microsoft\Windows\RecoveryEnvironment\VerifyWinRE,Microsoft Corporation,Validates the Windows Recovery Environment.,TASK_RUNLEVEL_HIGHEST,TASK_LOGON_GROUP,,,,,,,
WC781VXC,McDiReg,\McDiReg,McAfee,McDiReg,TASK_RUNLEVEL_HIGHEST,TASK_LOGON_GROUP,%PROGRAMDATA%\McAfee\Direct\McDiReg.exe,,true,true,The file is signed and the signature was verified.,"""McAfee",Symantec Class 3 SHA256 Code Signing CA
WC781VXC,dusmtask,\Microsoft\Windows\DUSM\dusmtask,,,TASK_RUNLEVEL_LUA,TASK_LOGON_GROUP,%SystemRoot%\System32\dusmtask.exe,,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Production PCA 2011
WC781VXC,VerifiedPublisherCertStoreCheck,\Microsoft\Windows\AppID\VerifiedPublisherCertStoreCheck,Microsoft Corporation,Inspects the AppID certificate cache for invalid or revoked certificates.,TASK_RUNLEVEL_LUA,TASK_LOGON_SERVICE_ACCOUNT,%windir%\system32\appidcertstorecheck.exe,,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Production PCA 2011
WC781VXC,ExploitGuard MDM policy Refresh,\Microsoft\Windows\ExploitGuard\ExploitGuard MDM policy Refresh,Microsoft Corporation,Task for applying changes to the machine's Exploit Protection settings.,TASK_RUNLEVEL_LUA,TASK_LOGON_SERVICE_ACCOUNT,,,,,,,
WC781VXC,CacheTask,\Microsoft\Windows\Wininet\CacheTask,Microsoft,Wininet Cache Task,TASK_RUNLEVEL_LUA,TASK_LOGON_GROUP,,,,,,,
WC781VXC,IntegrityCheck,\Microsoft\Windows\DeviceDirectoryClient\IntegrityCheck,,,TASK_RUNLEVEL_LUA,TASK_LOGON_SERVICE_ACCOUNT,,,,,,,
WC781VXC,Installation,\Microsoft\Windows\LanguageComponentsInstaller\Installation,Microsoft Corporation,Install language components that match the user's language list.,TASK_RUNLEVEL_LUA,TASK_LOGON_GROUP,,,,,,,
WC781VXC,RegisterDeviceWnsFallback,\Microsoft\Windows\DeviceDirectoryClient\RegisterDeviceWnsFallback,,,TASK_RUNLEVEL_LUA,TASK_LOGON_SERVICE_ACCOUNT,,,,,,,
WC781VXC,Maintenance Install,\Microsoft\Windows\UpdateOrchestrator\Maintenance Install,,,TASK_RUNLEVEL_LUA,TASK_LOGON_SERVICE_ACCOUNT,%systemroot%\system32\usoclient.exe,StartInstall,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Production PCA 2011
WC781VXC,SR,\Microsoft\Windows\SystemRestore\SR,Microsoft Corporation,This task creates regular system protection points.,TASK_RUNLEVEL_LUA,TASK_LOGON_SERVICE_ACCOUNT,%windir%\system32\srtasks.exe,ExecuteScheduledSPPCreation,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Production PCA 2011
WC781VXC,HybridDriveCachePrepopulate,\Microsoft\Windows\Sysmain\HybridDriveCachePrepopulate,Microsoft Corporation,Hybrid Drive cache prepopulation task,TASK_RUNLEVEL_HIGHEST,TASK_LOGON_SERVICE_ACCOUNT,,,,,,,
WC781VXC,RegisterDevicePolicyChange,\Microsoft\Windows\DeviceDirectoryClient\RegisterDevicePolicyChange,,,TASK_RUNLEVEL_LUA,TASK_LOGON_SERVICE_ACCOUNT,,,,,,,
WC781VXC,QueueReporting,\Microsoft\Windows\Windows Error Reporting\QueueReporting,Microsoft Corporation,Windows Error Reporting task to process queued reports.,TASK_RUNLEVEL_HIGHEST,TASK_LOGON_SERVICE_ACCOUNT,%windir%\system32\wermgr.exe,-upload,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Production PCA 2011
WC781VXC,ScheduledDefrag,\Microsoft\Windows\Defrag\ScheduledDefrag,Microsoft Corporation,This task optimizes local storage drives.,TASK_RUNLEVEL_HIGHEST,TASK_LOGON_SERVICE_ACCOUNT,%windir%\system32\defrag.exe,-c -h -o -$,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Production PCA 2011
