hostname,modulename,modulepath
ES0000HEE,mouclass.sys,C:\Windows\system32\DRIVERS\
ES0000HEE,HIDCLASS.SYS,C:\Windows\system32\DRIVERS\
ES0000HEE,mcupdate.dll,C:\Windows\system32\mcupdate_Genu
ES0000HEE,msisadrv.sys,C:\Windows\system32\drivers\
ES0000HEE,secdrv.SYS,C:\Windows\System32\Drivers\
ES0000HEE,fltmgr.sys,C:\Windows\system32\drivers\
ES0000HEE,CompositeBus.sys,C:\Windows\system32\DRIVERS\
ES0000HEE,HdAudio.sys,C:\Windows\system32\drivers\
ES0000HEE,compbatt.sys,C:\Windows\system32\DRIVERS\
ES0000HEE,lltdio.sys,C:\Windows\system32\DRIVERS\
ES0000HEE,bowser.sys,C:\Windows\system32\DRIVERS\
ES0000HEE,rdpbus.sys,C:\Windows\system32\DRIVERS\
ES0000HEE,tcpip.sys,C:\Windows\System32\drivers\
ES0000HEE,pci.sys,C:\Windows\system32\drivers\
ES0000HEE,mountmgr.sys,C:\Windows\System32\drivers\
ES0000HEE,USBD.SYS,C:\Windows\system32\DRIVERS\
ES0000HEE,rdpencdd.sys,C:\Windows\system32\drivers\
ES0000HEE,VBoxDisp.dll,C:\Windows\System32\
ES0000HEE,ntoskrnl.exe,C:\Windows\system32\
ES0000HEE,HTTP.sys,C:\Windows\system32\drivers\
ES0000HEE,ataport.SYS,C:\Windows\system32\drivers\
ES0000HEE,fileinfo.sys,C:\Windows\system32\drivers\
ES0000HEE,intelppm.sys,C:\Windows\system32\DRIVERS\
ES0000HEE,drmk.sys,C:\Windows\system32\drivers\
ES0000HEE,VBoxGuest.sys,C:\Windows\system32\DRIVERS\
ES0000HEE,VBoxMouse.sys,C:\Windows\system32\DRIVERS\
ES0000HEE,PSHED.dll,C:\Windows\system32\
ES0000HEE,fvevol.sys,C:\Windows\System32\DRIVERS\
ES0000HEE,Npfs.SYS,C:\Windows\System32\Drivers\
ES0000HEE,fwpkclnt.sys,C:\Windows\System32\drivers\
ES0000HEE,rspndr.sys,C:\Windows\system32\DRIVERS\
ES0000HEE,cng.sys,C:\Windows\System32\Drivers\
ES0000HEE,srv.sys,C:\Windows\System32\DRIVERS\
ES0000HEE,ndis.sys,C:\Windows\system32\drivers\
ES0000HEE,WDFLDR.SYS,C:\Windows\system32\drivers\
ES0000HEE,pcw.sys,C:\Windows\System32\drivers\
