hostname,modulename,modulepath
NS0007FVL,bridge.sys,C:\Windows\System32\drivers\
NS0007FVL,hyperkbd.sys,C:\Windows\System32\drivers\
NS0007FVL,amdsata.sys,C:\Windows\System32\drivers\
NS0007FVL,megasas.sys,C:\Windows\System32\drivers\
NS0007FVL,AWSNVMe.sys,C:\Windows\System32\drivers\
NS0007FVL,vsmraid.sys,C:\Windows\System32\drivers\
NS0007FVL,agilevpn.sys,C:\Windows\System32\drivers\
NS0007FVL,hidbatt.sys,C:\Windows\System32\drivers\
NS0007FVL,udfs.sys,C:\Windows\System32\drivers\
NS0007FVL,fdc.sys,C:\Windows\System32\drivers\
NS0007FVL,amdppm.sys,C:\Windows\System32\drivers\
NS0007FVL,ipnat.sys,C:\Windows\System32\drivers\
NS0007FVL,disk.sys,C:\Windows\System32\drivers\
NS0007FVL,sbp2port.sys,C:\Windows\System32\drivers\
NS0007FVL,mup.sys,C:\Windows\System32\drivers\
NS0007FVL,megasr.sys,C:\Windows\System32\drivers\
NS0007FVL,vmstorfl.sys,C:\Windows\System32\drivers\
NS0007FVL,HyperVideo.sys,C:\Windows\System32\drivers\
NS0007FVL,netbt.sys,C:\Windows\System32\drivers\
NS0007FVL,rdbss.sys,C:\Windows\System32\drivers\
NS0007FVL,mshidumdf.sys,C:\Windows\System32\drivers\
NS0007FVL,iaStorAV.sys,C:\Windows\System32\drivers\
NS0007FVL,amdsbs.sys,C:\Windows\System32\drivers\
NS0007FVL,umpass.sys,C:\Windows\System32\drivers\
NS0007FVL,usbprint.sys,C:\Windows\System32\drivers\
NS0007FVL,UCX01000.SYS,C:\Windows\System32\drivers\
NS0007FVL,ksecpkg.sys,C:\Windows\System32\drivers\
NS0007FVL,raspptp.sys,C:\Windows\System32\drivers\
NS0007FVL,wimmount.sys,C:\Windows\System32\drivers\
NS0007FVL,lsi_sas3.sys,C:\Windows\System32\drivers\
NS0007FVL,xenfilt.sys,C:\Windows\System32\drivers\
NS0007FVL,filetrace.sys,C:\Windows\System32\drivers\
NS0007FVL,mssmbios.sys,C:\Windows\System32\drivers\
NS0007FVL,3ware.sys,C:\Windows\System32\drivers\
NS0007FVL,srv.sys,C:\Windows\System32\drivers\
NS0007FVL,vpcivsp.sys,C:\Windows\System32\drivers\
NS0007FVL,rdpvideominiport.sys,C:\Windows\System32\drivers\
NS0007FVL,hidusb.sys,C:\Windows\System32\drivers\
NS0007FVL,mvumis.sys,C:\Windows\System32\drivers\
NS0007FVL,rdpbus.sys,C:\Windows\System32\drivers\
NS0007FVL,terminpt.sys,C:\Windows\System32\drivers\
NS0007FVL,fxppm.sys,C:\Windows\System32\drivers\
NS0007FVL,vmbusr.sys,C:\Windows\System32\drivers\
NS0007FVL,netvsc63.sys,C:\Windows\System32\drivers\
NS0007FVL,kbdclass.sys,C:\Windows\System32\drivers\
NS0007FVL,scfilter.sys,C:\Windows\System32\drivers\
NS0007FVL,usbuhci.sys,C:\Windows\System32\drivers\
NS0007FVL,viaide.sys,C:\Windows\System32\drivers\
NS0007FVL,sfloppy.sys,C:\Windows\System32\drivers\
NS0007FVL,mrxsmb.sys,C:\Windows\System32\drivers\
NS0007FVL,nvstor.sys,C:\Windows\System32\drivers\
NS0007FVL,pcmcia.sys,C:\Windows\System32\drivers\
NS0007FVL,winnat.sys,C:\Windows\System32\drivers\
NS0007FVL,WUDFPf.sys,C:\Windows\System32\drivers\
NS0007FVL,mouclass.sys,C:\Windows\System32\drivers\
NS0007FVL,bfadfcoei.sys,C:\Windows\System32\drivers\
NS0007FVL,BasicRender.sys,C:\Windows\System32\drivers\
NS0007FVL,svchost.exe,C:\Windows\System32\
NS0007FVL,TsUsbGD.sys,C:\Windows\System32\drivers\
NS0007FVL,PEAuth.sys,C:\Windows\System32\drivers\
NS0007FVL,EC2WinUtilDriver.sys,C:\Windows\System32\drivers\
NS0007FVL,elxfcoe.sys,C:\Windows\System32\drivers\
NS0007FVL,NdisVirtualBus.sys,C:\Windows\System32\drivers\
NS0007FVL,sisraid2.sys,C:\Windows\System32\drivers\
NS0007FVL,nsiproxy.sys,C:\Windows\System32\drivers\
NS0007FVL,smbdirect.sys,C:\Windows\System32\drivers\
NS0007FVL,http.sys,C:\Windows\System32\drivers\
NS0007FVL,cht4vx64.sys,C:\Windows\System32\drivers\
NS0007FVL,tdx.sys,C:\Windows\System32\drivers\
NS0007FVL,SerCx.sys,C:\Windows\System32\drivers\
