hostname,name,virtualpath,creator,comment,accountrunlevel,accountlogontype,execprogrampath,execarguments,signatureexists,signatureverified,description,certificatesubject,certificateissuer
NS0006BNQ,Windows Defender Verification,\Microsoft\Windows\Windows Defender\Windows Defender Verification,,Periodic verification task.,TASK_RUNLEVEL_HIGHEST,TASK_LOGON_SERVICE_ACCOUNT,%ProgramFiles%\Windows Defender\MpCmdRun.exe,-IdleTask -TaskName WdVerification,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Production PCA 2011
NS0006BNQ,Windows Defender Cache Maintenance,\Microsoft\Windows\Windows Defender\Windows Defender Cache Maintenance,,Periodic maintenance task.,TASK_RUNLEVEL_HIGHEST,TASK_LOGON_SERVICE_ACCOUNT,%ProgramFiles%\Windows Defender\MpCmdRun.exe,-IdleTask -TaskName WdCacheMaintenance,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Production PCA 2011
NS0006BNQ,AikCertEnrollTask,\Microsoft\Windows\CertificateServicesClient\AikCertEnrollTask,Microsoft Corporation,This task enrolls a certificate for Attestation Identity Key.,TASK_RUNLEVEL_LUA,TASK_LOGON_SERVICE_ACCOUNT,,,,,,,
NS0006BNQ,Storage Tiers Optimization,\Microsoft\Windows\Storage Tiers Management\Storage Tiers Optimization,Microsoft Corporation,Optimizes the placement of data in storage tiers on all tiered storage spaces in the system.,TASK_RUNLEVEL_HIGHEST,TASK_LOGON_SERVICE_ACCOUNT,%windir%\system32\defrag.exe,-c -h -g -# -m 8 -i 13500,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Production PCA 2011
NS0006BNQ,VerifiedPublisherCertStoreCheck,\Microsoft\Windows\AppID\VerifiedPublisherCertStoreCheck,Microsoft Corporation,Inspects the AppID certificate cache for invalid or revoked certificates.,TASK_RUNLEVEL_LUA,TASK_LOGON_SERVICE_ACCOUNT,%windir%\system32\appidcertstorecheck.exe,,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Production PCA 2011
NS0006BNQ,SilentCleanup,\Microsoft\Windows\DiskCleanup\SilentCleanup,Microsoft Corporation,Maintenance task used by the system to launch a silent auto disk cleanup when running low on free disk space.,TASK_RUNLEVEL_HIGHEST,TASK_LOGON_GROUP,%windir%\system32\cleanmgr.exe,/autoclean /d %systemdrive%,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Production PCA 2011
NS0006BNQ,.NET Framework NGEN v4.0.30319 64,\Microsoft\Windows\.NET Framework\.NET Framework NGEN v4.0.30319 64,,,TASK_RUNLEVEL_LUA,TASK_LOGON_SERVICE_ACCOUNT,,,,,,,
NS0006BNQ,CreateObjectTask,\Microsoft\Windows\CloudExperienceHost\CreateObjectTask,,,TASK_RUNLEVEL_LUA,TASK_LOGON_SERVICE_ACCOUNT,,,,,,,
NS0006BNQ,Data Integrity Scan,\Microsoft\Windows\Data Integrity Scan\Data Integrity Scan,Microsoft Corporation,Scans fault-tolerant volumes for latent corruptions,TASK_RUNLEVEL_HIGHEST,TASK_LOGON_SERVICE_ACCOUNT,,,,,,,
NS0006BNQ,Storage Tiers Management Initialization,\Microsoft\Windows\Storage Tiers Management\Storage Tiers Management Initialization,Microsoft Corporation,Initializes the Storage Tiers Management service when the first tiered storage space is detected on the system. Do not remove or modify this task.,TASK_RUNLEVEL_HIGHEST,TASK_LOGON_SERVICE_ACCOUNT,,,,,,,
NS0006BNQ,UsbCeip,\Microsoft\Windows\Customer Experience Improvement Program\UsbCeip,Microsoft Corporation,The USB CEIP (Customer Experience Improvement Program) task collects Universal Serial Bus related statistics and information about your machine and sends it to the Windows Device Connectivity engineering group at Microsoft.  The information received is used to help improve the reliability  stability  and overall functionality of USB in Windows.  If the user has not consented to participate in Windows CEIP  this task does not do anything.,TASK_RUNLEVEL_LUA,TASK_LOGON_SERVICE_ACCOUNT,,,,,,,
NS0006BNQ,SvcRestartTask,\Microsoft\Windows\SoftwareProtectionPlatform\SvcRestartTask,Microsoft Corporation,This task restarts the Software Protection Platform service at the specified time,TASK_RUNLEVEL_LUA,TASK_LOGON_SERVICE_ACCOUNT,,,,,,,
NS0006BNQ,Device Install Group Policy,\Microsoft\Windows\Plug and Play\Device Install Group Policy,Microsoft Corporation,Device Installation Group Policy Change Handler,TASK_RUNLEVEL_HIGHEST,TASK_LOGON_SERVICE_ACCOUNT,,,,,,,
NS0006BNQ,SystemSoundsService,\Microsoft\Windows\Multimedia\SystemSoundsService,,System Sounds User Mode Agent,TASK_RUNLEVEL_LUA,TASK_LOGON_GROUP,,,,,,,
NS0006BNQ,WinSAT,\Microsoft\Windows\Maintenance\WinSAT,Microsoft,Measures a system's performance and capabilities,TASK_RUNLEVEL_HIGHEST,TASK_LOGON_GROUP,,,,,,,
NS0006BNQ,Schedule Scan,\Microsoft\Windows\UpdateOrchestrator\Schedule Scan,Microsoft Corporation,This task performs a scheduled Windows Update scan.,TASK_RUNLEVEL_LUA,TASK_LOGON_SERVICE_ACCOUNT,%systemroot%\system32\usoclient.exe,StartScan,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Production PCA 2011
NS0006BNQ,Uninstallation,\Microsoft\Windows\LanguageComponentsInstaller\Uninstallation,Microsoft Corporation,Uninstall language components that are not in any user's language list.,TASK_RUNLEVEL_HIGHEST,TASK_LOGON_SERVICE_ACCOUNT,,,,,,,
NS0006BNQ,VerifyWinRE,\Microsoft\Windows\RecoveryEnvironment\VerifyWinRE,Microsoft Corporation,Validates the Windows Recovery Environment.,TASK_RUNLEVEL_HIGHEST,TASK_LOGON_GROUP,,,,,,,
NS0006BNQ,EDP Policy Manager,\Microsoft\Windows\AppID\EDP Policy Manager,Microsoft Corporation,This task performs steps necessary to configure Enterprise Data Protection.,TASK_RUNLEVEL_LUA,TASK_LOGON_SERVICE_ACCOUNT,,,,,,,
NS0006BNQ,ResolutionHost,\Microsoft\Windows\WDI\ResolutionHost,Microsoft Corporation,The Windows Diagnostic Infrastructure Resolution host enables interactive resolutions for system problems detected by the Diagnostic Policy Service. It is triggered when necessary by the Diagnostic Policy Service in the appropriate user session. If the Diagnostic Policy Service is not running  the task will not run,TASK_RUNLEVEL_HIGHEST,TASK_LOGON_GROUP,,,,,,,
NS0006BNQ,UninstallDeviceTask,\Microsoft\Windows\Bluetooth\UninstallDeviceTask,Microsoft,Uninstalls the PnP device associated with the specified Bluetooth service ID,TASK_RUNLEVEL_LUA,TASK_LOGON_SERVICE_ACCOUNT,BthUdTask.exe,$(Arg0),,,,,
NS0006BNQ,KernelCeipTask,\Microsoft\Windows\Customer Experience Improvement Program\KernelCeipTask,Microsoft Corporation,The Kernel CEIP (Customer Experience Improvement Program) task collects additional information about the system and sends this data to Microsoft.  If the user has not consented to participate in Windows CEIP  this task does nothing.,TASK_RUNLEVEL_LUA,TASK_LOGON_SERVICE_ACCOUNT,,,,,,,
NS0006BNQ,Tpm-HASCertRetr,\Microsoft\Windows\TPM\Tpm-HASCertRetr,Microsoft Corporation,This task requests a Health Attestation Certificate.,TASK_RUNLEVEL_LUA,TASK_LOGON_SERVICE_ACCOUNT,,,,,,,
NS0006BNQ,HiveUploadTask,\Microsoft\Windows\User Profile Service\HiveUploadTask,Microsoft Corporation,This task will automatically upload a roaming user profile's registry hive to its network location.,TASK_RUNLEVEL_LUA,TASK_LOGON_SERVICE_ACCOUNT,,,,,,,
NS0006BNQ,appuriverifierinstall,\Microsoft\Windows\ApplicationData\appuriverifierinstall,Microsoft Corporation,Verifies AppUriHandler host registrations.,TASK_RUNLEVEL_LUA,TASK_LOGON_GROUP,%windir%\system32\AppHostRegistrationVerifier.exe,,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Production PCA 2011
