hostname,keypath,type,valuename,username,path,text
ET715MSY,Classes\CLSID\{b2b4fb61-d2dd-4ddd-8001-20f98c6577ef}\InProcServer32,REG_EXPAND_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{b2b4fb61-d2dd-4ddd-8001-20f98c6577ef}\InProcServer32\,%SystemRoot%\system32\shell32.dll
ET715MSY,Classes\CLSID\{b31c57ac-4a31-470f-bbee-dba1e5b246be}\InProcServer32,REG_EXPAND_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{b31c57ac-4a31-470f-bbee-dba1e5b246be}\InProcServer32\,%SystemRoot%\System32\FlightSettings.dll
ET715MSY,Classes\CLSID\{2A11F42C-3E81-4ad4-9CBE-45579D89671A}\InProcServer32,REG_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{2A11F42C-3E81-4ad4-9CBE-45579D89671A}\InProcServer32\,C:\Windows\System32\locationapi.dll
ET715MSY,Classes\CLSID\{443C8934-90FF-48ED-BCDE-26F5C7450042}\InProcServer32,REG_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{443C8934-90FF-48ED-BCDE-26F5C7450042}\InProcServer32\,C:\Windows\System32\BitsProxy.dll
ET715MSY,Classes\CLSID\{641ABA69-56FD-4029-A445-4D8375D3A699}\InProcServer32,REG_EXPAND_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{641ABA69-56FD-4029-A445-4D8375D3A699}\InProcServer32\,%SystemRoot%\system32\UIAnimation.dll
ET715MSY,Classes\CLSID\{C1ABB475-F198-39D5-BF8D-330BC7189661}\InProcServer32,REG_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{C1ABB475-F198-39D5-BF8D-330BC7189661}\InProcServer32\,C:\Windows\System32\mscoree.dll
ET715MSY,Classes\CLSID\{5167B42F-C111-47A1-ACC4-8EABE61B0B54}\InProcServer32,REG_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{5167B42F-C111-47A1-ACC4-8EABE61B0B54}\InProcServer32\,C:\Windows\System32\easconsent.dll
ET715MSY,Classes\CLSID\{6B91AFEF-9472-11D1-8574-00C04FC31FD3}\InProcServer32,REG_EXPAND_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{6B91AFEF-9472-11D1-8574-00C04FC31FD3}\InProcServer32\,%SystemRoot%\System32\mprsnap.dll
ET715MSY,Classes\CLSID\{1b283861-754f-4022-ad47-a5eaaa618894}\InProcServer32,REG_EXPAND_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{1b283861-754f-4022-ad47-a5eaaa618894}\InProcServer32\,%SystemRoot%\system32\SmartcardCredentialProvider.dll
ET715MSY,Classes\CLSID\{00021400-0000-0000-C000-000000000046}\InProcServer32,REG_EXPAND_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{00021400-0000-0000-C000-000000000046}\InProcServer32\,%SystemRoot%\system32\windows.storage.dll
ET715MSY,Classes\CLSID\{727af81a-cacf-4e37-9df7-a22ed974f298}\InProcServer32,REG_EXPAND_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{727af81a-cacf-4e37-9df7-a22ed974f298}\InProcServer32\,%SystemRoot%\system32\twinui.dll
ET715MSY,Classes\CLSID\{4582EBA9-6AA1-4D79-824E-728929EF455D}\InProcServer32,REG_EXPAND_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{4582EBA9-6AA1-4D79-824E-728929EF455D}\InProcServer32\,%SystemRoot%\system32\xwizards.dll
ET715MSY,Wow6432Node\Classes\CLSID\{0B1C8EE2-4E12-496F-BA37-D7337B90FB4B}\InProcServer32,REG_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Wow6432Node\Classes\CLSID\{0B1C8EE2-4E12-496F-BA37-D7337B90FB4B}\InProcServer32\,C:\Windows\SysWOW64\Windows.Devices.Portable.dll
ET715MSY,Classes\CLSID\{331E8B29-D4C3-4278-B005-671BB919C320}\InProcServer32,REG_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{331E8B29-D4C3-4278-B005-671BB919C320}\InProcServer32\,C:\Windows\System32\DefaultPrinterProvider.dll
ET715MSY,Classes\CLSID\{85AFC315-CAC7-4475-875B-D7161BA14874}\InProcServer32,REG_EXPAND_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{85AFC315-CAC7-4475-875B-D7161BA14874}\InProcServer32\,%SystemRoot%\System32\Speech_OneCore\Common\sapi_onecore.dll
