hostname,name,arguments,username,path,pid
ET715MSY,McCSPServiceHost.exe,"""C:\Program Files\Common Files\McAfee\CSP\3.0.127.0\\McCSPServiceHost.exe""",erinsande,C:\Program Files\Common Files\McAfee\CSP\3.0.127.0,2714
ET715MSY,mchost.exe,"""C:\Program Files\Common Files\McAfee\Platform\Core\mchost.exe"" {e05dd3fd-ba47-4235-85a5-3789db83c8e1} /pid=444",erinsande,C:\Program Files\Common Files\McAfee\Platform\Core,1977
ET715MSY,mspaint.exe,"""C:\Windows\system32\mspaint.exe"" ",erinsande,C:\Windows\system32,5920
ET715MSY,McInstruTrack.exe,C:\ProgramData\McAfee\McInstruTrack\McInstruTrack.exe /SP:0,erinsande,C:\ProgramData\McAfee\McInstruTrack,3350
ET715MSY,dwm.exe,"""dwm.exe""",NT AUTHORITY\SYSTEM,C:\Windows\system32,1352
ET715MSY,ServiceHost.exe,"""C:\Program Files\McAfee\WebAdvisor\ServiceHost.exe""",erinsande,C:\Program Files\McAfee\WebAdvisor,5109
ET715MSY,g2mstart.exe,"""C:\Users\leabutl71\AppData\Local\GoToMeeting\9508\g2mstart.exe"" ""/Action Host"" ""/BrokerServiceSuffix @ISL1"" ""/Build 9508"" ""/Download Auto"" ""/EGWAddress 216.115.208.230"" ""/EGWDNS egwglobal.gotomeeting.com"" ""/EGWPort 80 443 8200"" ""/Mode Normal"" ""/Product g2m"" ""/colClientUiReadyEvent Global\55848945-2CEA-4978-BF24-0C6A3B11E66E"" ""/sessionTrackingId e0-PH0LsK8MFgg2A9ZkKW16jt2JkQ4bP""",leabutl71,C:\Users\leabutl71\AppData\Local\GoToMeeting\9508,4183
ET715MSY,svchost.exe,C:\Windows\System32\svchost.exe -k smbsvcs,NT AUTHORITY\SYSTEM,C:\Windows\System32,4584
ET715MSY,Explorer.EXE,C:\Windows\Explorer.EXE,NT AUTHORITY\SYSTEM,C:\Windows,2768
ET715MSY,taskhostw.exe,taskhostw.exe {222A245B-E637-4AE9-A93F-A59CA119A75E},NT AUTHORITY\SYSTEM,C:\Windows\System32,5412
ET715MSY,soffice.bin,"""C:\Program Files (x86)\OpenOffice 4\program\soffice.exe"" ""-env:OOO_CWD=2C:\\Program Files (x86)\\OpenOffice 4""",erinsande,C:\Program Files (x86)\OpenOffice 4\program,2454
ET715MSY,UIHost.exe,"""C:\Program Files\McAfee\WebAdvisor\UIHost.exe"" ",erinsande,C:\Program Files\McAfee\WebAdvisor,5397
ET715MSY,svchost.exe,C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted,NT AUTHORITY\SYSTEM,C:\Windows\System32,5764
ET715MSY,pcalua.exe,C:\Windows\System32\pcalua.exe -a C:\Windows\servicing\tcpsvcs.dll,Lost_367843,C:\Windows\System32\pcalua.exe,552
ET715MSY,conhost.exe,\??\C:\Windows\system32\conhost.exe 0x4,NT AUTHORITY\SYSTEM,C:\Windows\system32,6000
ET715MSY,TabTip32.exe,/loadhooks /Parent:0000000000001188,NT AUTHORITY\SYSTEM,C:\Program Files (x86)\Common Files\Microsoft Shared\Ink,5008
ET715MSY,g2mcomm.exe,"""C:\Users\leabutl71\AppData\Local\GoToMeeting\9508\g2mcomm.exe"" ""Action=Host&amp;BrokerServiceSuffix=@ISL1&amp;Build=9508&amp;colClientUiReadyEvent=Global\55848945-2CEA-4978-BF24-0C6A3B11E66E&amp;Digest=1bc982ef0552b1fb859a423b1f290ef0&amp;Dir=C:\Users\leabutl71\AppData\Local\GoToMeeting\9508\&amp;Download=Auto&amp;EGWAddress=216.115.208.230&amp;EGWDNS=egwglobal.gotomeeting.com&amp;EGWPort=80 443 8200&amp;LoaderPath=C:\Users\leabutl71\AppData\Local\GoToMeeting\9508\g2mstart.exe&amp;LogName=c:\users\leabutl71\appdata\local\temp\logmeinlogs\gotomeeting\9508\2018-10-29_12.04.18.379\GoToMeeting.log&amp;Mode=Normal&amp;Path=g2mlauncher.exe&amp;Plugin=G2MLauncher&amp;Product=g2m&amp;sessionTrackingId=e0-PH0LsK8MFgg2A9ZkKW16jt2JkQ4bP&amp;UniqueId=16cc""",leabutl71,C:\Users\leabutl71\AppData\Local\GoToMeeting\9508,2567
ET715MSY,WINWORD.EXE,"""C:\Program Files\Microsoft Office\root\Office16\WINWORD.EXE"" ",justimoo90,C:\Program Files\Microsoft Office\root\Office16,5807
ET715MSY,dllhost.exe,C:\Windows\system32\dllhost.exe /Processid:{02D4B3F1-FD88-11D1-960D-00805FC79235},NT AUTHORITY\SYSTEM,C:\Windows\system32,2392
ET715MSY,mspaint.exe,"""C:\Windows\system32\mspaint.exe"" ",justimoo90,C:\Windows\system32,1179
ET715MSY,ModuleCoreService.exe,ModuleCoreService.exe /startUserModeHosting=4_TIME_TO_DIE,erinsande,c:\program files\common files\mcafee\modulecore,1305
ET715MSY,tvnserver.exe,"""C:\Program Files\TightVNC\tvnserver.exe"" -controlservice -slave",erinsande,C:\Program Files\TightVNC,6158
ET715MSY,soffice.exe,"""C:\Program Files (x86)\OpenOffice 4\program\soffice.exe"" ",erinsande,C:\Program Files (x86)\OpenOffice 4\program,616
ET715MSY,MpCmdRun.exe,"""C:\Program Files\Windows Defender\\MpCmdRun.exe"" SpyNetServiceDss -RestrictPrivileges -AccessKey 5BDCBEBD-E077-6957-0484-82901932C7EC -Reinvoke",NT AUTHORITY\SYSTEM,C:\Program Files\Windows Defender,6368
ET715MSY,winlogon.exe,winlogon.exe,NT AUTHORITY\SYSTEM,C:\Windows\system32,904
ET715MSY,svchost.exe,C:\Windows\system32\svchost.exe -k LocalService,NT AUTHORITY\SYSTEM,C:\Windows\system32,1956
ET715MSY,ProtectedModuleHost.exe,"""C:\\Program Files\\Common Files\\McAfee\ModuleCore\\ProtectedModuleHost.exe""",erinsande,C:\Program Files\Common Files\McAfee\ModuleCore,5582
ET715MSY,slack.exe,"""C:\Users\justimoo90\AppData\Local\slack\app-3.1.1\slack.exe""",justimoo90,C:\Users\justimoo90\AppData\Local\slack\app-3.1.1,4038
ET715MSY,RuntimeBroker.exe,C:\Windows\System32\RuntimeBroker.exe -Embedding,NT AUTHORITY\SYSTEM,C:\Windows\System32,1340
ET715MSY,MFEAvSvc.exe,"""C:\Program Files\McAfee\MfeAV\MFEAvSvc.exe""",erinsande,C:\Program Files\McAfee\MfeAV,3417
ET715MSY,lsass.exe,C:\Windows\system32\lsass.exe,NT AUTHORITY\SYSTEM,C:\Windows\system32,4244
ET715MSY,dwm.exe,"""dwm.exe""",NT AUTHORITY\SYSTEM,C:\Windows\system32,2160
ET715MSY,MMSSHOST.EXE,"""C:\Program Files\Common Files\McAfee\MMSSHost\MMSSHOST.EXE"" MMSCOM homenetsvc",erinsande,C:\Program Files\Common Files\McAfee\MMSSHost,296
ET715MSY,svchost.exe,C:\Windows\System32\svchost.exe -k termsvcs,NT AUTHORITY\SYSTEM,C:\Windows\System32,4200
ET715MSY,dllhost.exe,C:\Windows\system32\dllhost.exe /Processid:{A7CCA429-5F8F-4A5B-B524-82C38D561286},NT AUTHORITY\SYSTEM,C:\Windows\system32,6416
ET715MSY,svchost.exe,C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation,NT AUTHORITY\SYSTEM,C:\Windows\system32,4756
ET715MSY,mavinject.exe,C:\Windows\System32\mavinject.exe 4952 /INJECTRUNNING C:\Windows\aspnet_state.dll,NT AUTHORITY\SYSTEM,C:\Windows\System32\mavinject.exe,120
ET715MSY,McDiReg.exe,"""C:\ProgramData\McAfee\Direct\McDiReg.exe"" ",erinsande,C:\ProgramData\McAfee\Direct,4907
ET715MSY,svchost.exe,C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted,NT AUTHORITY\SYSTEM,C:\Windows\System32,3192
ET715MSY,MicrosoftEdgeCP.exe,"""C:\Windows\SystemApps\Microsoft.MicrosoftEdge_8wekyb3d8bbwe\MicrosoftEdgeCP.exe"" -ServerName:ContentProcess.AppX6z3cwk4fvgady6zya12j1cw28d228a7k.mca",justimoo90,C:\Windows\SystemApps\Microsoft.MicrosoftEdge_8wekyb3d8bbwe,5558
