hostname,name,arguments,username,path,pid
EW894MSY,sihost.exe,sihost.exe,NT AUTHORITY\SYSTEM,C:\Windows\System32,100
EW894MSY,ShellExperienceHost.exe,"""C:\Windows\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe"" -ServerName:App.AppXtk181tbxbce2qsex02s8tw7hfxa9xb3t.mca",NT AUTHORITY\SYSTEM,C:\Windows\SystemApps\ShellExperienceHost_cw5n1h2txyewy,6452
EW894MSY,notepad.exe,"""C:\Windows\system32\notepad.exe"" ",dyla.moore,C:\Windows\system32,681
EW894MSY,svchost.exe,C:\Windows\system32\svchost.exe -k RPCSS,NT AUTHORITY\SYSTEM,C:\Windows\system32,1608
EW894MSY,msdtc.exe,C:\Windows\System32\msdtc.exe,NT AUTHORITY\SYSTEM,C:\Windows\System32,696
EW894MSY,svchost.exe,C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation,NT AUTHORITY\SYSTEM,C:\Windows\system32,4176
EW894MSY,svchost.exe,C:\Windows\system32\svchost.exe -k DcomLaunch,NT AUTHORITY\SYSTEM,C:\Windows\system32,1640
EW894MSY,OneDrive.exe,"""C:\Users\dyla.moore\AppData\Local\Microsoft\OneDrive\OneDrive.exe"" ",dyla.moore,C:\Users\dyla.moore\AppData\Local\Microsoft\OneDrive,1274
EW894MSY,svchost.exe,C:\Windows\system32\svchost.exe -k NetworkServiceNetworkRestricted,NT AUTHORITY\SYSTEM,C:\Windows\system32,3712
EW894MSY,svchost.exe,C:\Windows\system32\svchost.exe -k UnistackSvcGroup,NT AUTHORITY\SYSTEM,C:\Windows\system32,2048
EW894MSY,UIHost.exe,"""C:\Program Files\McAfee\WebAdvisor\UIHost.exe"" ",dyla.moore,C:\Program Files\McAfee\WebAdvisor,4616
EW894MSY,svchost.exe,C:\Windows\System32\svchost.exe -k smbsvcs,NT AUTHORITY\SYSTEM,C:\Windows\System32,784
EW894MSY,mcshield.exe,"""C:\Program Files\Common Files\McAfee\AMCore\mcshield.exe""",dyla.moore,C:\Program Files\Common Files\McAfee\AMCore,5316
EW894MSY,ProtectedModuleHost.exe,"""C:\\Program Files\\Common Files\\McAfee\ModuleCore\\ProtectedModuleHost.exe""",dyla.moore,C:\Program Files\Common Files\McAfee\ModuleCore,840
EW894MSY,PEFService.exe,"""C:\Program Files\Common Files\McAfee\PEF\CORE\PEFService.exe""",dyla.moore,C:\Program Files\Common Files\McAfee\PEF\CORE,1019
