hostname,keypath,type,valuename,username,path,text
EE0006XXF,CurrentControlSet\Services\W3SVC\Parameters\,REG_EXPAND_SZ,ServiceDll,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\W3SVC\Parameters\ServiceDll,%windir%\system32\inetsrv\iisw3adm.dll
EE0006XXF,Classes\CLSID\{B699E5E8-67FF-4177-88B0-3684A3388BFB}\InProcServer32,REG_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{B699E5E8-67FF-4177-88B0-3684A3388BFB}\InProcServer32\,C:\Windows\system32\wuapi.dll
EE0006XXF,Wow6432Node\Classes\CLSID\{45234E3E-61CC-4311-A3AB-248082554482}\InProcServer32,REG_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Wow6432Node\Classes\CLSID\{45234E3E-61CC-4311-A3AB-248082554482}\InProcServer32\,C:\Windows\SysWOW64\termmgr.dll
EE0006XXF,CurrentControlSet\Services\WinSock2\Parameters\Protocol_Catalog9\Catalog_Entries\000000000003\,REG_BINARY,PackedCatalogItem,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\System\CurrentControlSet\Services\WinSock2\Parameters\Protocol_Catalog9\Catalog_Entries\000000000003\PackedCatalogItem,%SystemRoot%\system32\mswsock.dll..................................................................................................................................................................................................................................................................._H..................................................................................@.%.S.y.s.t.e.m.R.o.o.t.%.\.S.y.s.t.e.m.3.2.\.w.s.h.t.c.p.i.p...d.l.l. .-.6.0.1.0.2.............................................................................................................................................................................................................................................................................................................................................................................................................................................
EE0006XXF,Classes\CLSID\{372FCE38-4324-11D0-8810-00A0C903B83C}\InProcServer32,REG_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{372FCE38-4324-11D0-8810-00A0C903B83C}\InProcServer32\,C:\Windows\system32\certcli.dll
EE0006XXF,Classes\CLSID\{a3c3d402-e56c-4033-95f7-4885e80b0111}\InProcServer32,REG_EXPAND_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{a3c3d402-e56c-4033-95f7-4885e80b0111}\InProcServer32\,%SystemRoot%\system32\twext.dll
EE0006XXF,Classes\CLSID\{92187326-72B4-11d0-A1AC-0000F8026977}\InProcServer32,REG_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{92187326-72B4-11d0-A1AC-0000F8026977}\InProcServer32\,C:\Windows\System32\gcdef.dll
EE0006XXF,Classes\CLSID\{25ECF786-A925-4706-A269-EEF5AD6899DB}\InProcServer32,REG_EXPAND_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{25ECF786-A925-4706-A269-EEF5AD6899DB}\InProcServer32\,%SystemRoot%\SYSTEM32\ime\IMETC10\IMTCCORE.DLL
EE0006XXF,Wow6432Node\Classes\CLSID\{25E609E0-B259-11CF-BFC7-444553540000}\InProcServer32,REG_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Wow6432Node\Classes\CLSID\{25E609E0-B259-11CF-BFC7-444553540000}\InProcServer32\,C:\Windows\SysWOW64\dinput.dll
EE0006XXF,Classes\CLSID\{8e85d0ce-deaf-4ea1-9410-fd1a2105ceb5}\InProcServer32,REG_EXPAND_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{8e85d0ce-deaf-4ea1-9410-fd1a2105ceb5}\InProcServer32\,%SystemRoot%\system32\shell32.dll
EE0006XXF,CurrentControlSet\Services\TsUsbGD\,REG_EXPAND_SZ,ImagePath,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\TsUsbGD\ImagePath,\SystemRoot\system32\drivers\TsUsbGD.sys
EE0006XXF,Classes\CLSID\{0D722F1A-9FCF-4E62-96D8-6DF8F01A26AA}\InProcServer32,REG_EXPAND_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{0D722F1A-9FCF-4E62-96D8-6DF8F01A26AA}\InProcServer32\,%SystemRoot%\System32\Speech\Common\sapi.dll
EE0006XXF,Classes\CLSID\{7754801c-b01d-4d74-84cb-dfd70669ffbe}\InProcServer32,REG_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{7754801c-b01d-4d74-84cb-dfd70669ffbe}\InProcServer32\,C:\Windows\system32\DeviceMetadataParsers.dll
EE0006XXF,Classes\CLSID\{C10B4771-4DA0-11D2-A2F5-00C04F86FB7D}\InProcServer32,REG_EXPAND_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{C10B4771-4DA0-11D2-A2F5-00C04F86FB7D}\InProcServer32\,%SystemRoot%\system32\wbem\mofd.dll
EE0006XXF,Classes\CLSID\{DEA8AFA0-CC85-11D0-9CE2-0080C7221EBD}\InProcServer32,REG_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{DEA8AFA0-CC85-11D0-9CE2-0080C7221EBD}\InProcServer32\,C:\Windows\system32\ipsecsnp.dll
EE0006XXF,Classes\CLSID\{e3e478d6-a2f2-4791-89a3-21f5c78dc3ec}\InProcServer32,REG_EXPAND_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{e3e478d6-a2f2-4791-89a3-21f5c78dc3ec}\InProcServer32\,%SystemRoot%\system32\shell32.dll
EE0006XXF,Classes\CLSID\{EFE6629C-81F7-4281-BD91-C9D604A95AF6}\InProcServer32,REG_EXPAND_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{EFE6629C-81F7-4281-BD91-C9D604A95AF6}\InProcServer32\,%SystemRoot%\System32\dsdmo.dll
EE0006XXF,Classes\CLSID\{BB918E32-2A5C-4986-AB40-1686A034390A}\InProcServer32,REG_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{BB918E32-2A5C-4986-AB40-1686A034390A}\InProcServer32\,C:\Windows\system32\termmgr.dll
EE0006XXF,Classes\CLSID\{217FC9C0-3AEA-1069-A2DB-08002B30309D}\InProcServer32,REG_EXPAND_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{217FC9C0-3AEA-1069-A2DB-08002B30309D}\InProcServer32\,%SystemRoot%\system32\shell32.dll
EE0006XXF,CurrentControlSet\Services\Vid\,REG_EXPAND_SZ,ImagePath,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\Vid\ImagePath,\SystemRoot\system32\drivers\Vid.sys
EE0006XXF,Classes\CLSID\{4C1FC63A-695C-47E8-A339-1A194BE3D0B8}\InProcServer32,REG_EXPAND_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{4C1FC63A-695C-47E8-A339-1A194BE3D0B8}\InProcServer32\,%SystemRoot%\System32\UIAnimation.dll
EE0006XXF,Wow6432Node\Classes\CLSID\{22e5fca2-9c7c-4239-8aed-4d0623f532d8}\InProcServer32,REG_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Wow6432Node\Classes\CLSID\{22e5fca2-9c7c-4239-8aed-4d0623f532d8}\InProcServer32\,C:\Windows\SysWOW64\setup\cmmigr.dll
EE0006XXF,CurrentControlSet\Services\netprofm\Parameters\,REG_EXPAND_SZ,ServiceDll,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\SYSTEM\CurrentControlSet\Services\netprofm\Parameters\ServiceDll,%SystemRoot%\System32\netprofm.dll
EE0006XXF,Classes\CLSID\{294935CE-F637-4E7C-A41B-AB255460B862}\InProcServer32,REG_EXPAND_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{294935CE-F637-4E7C-A41B-AB255460B862}\InProcServer32\,%SystemRoot%\System32\audioses.dll
EE0006XXF,Classes\CLSID\{6BC096B3-0CE6-11D1-BAAE-00C04FC2E20D}\InProcServer32,REG_EXPAND_SZ,,NT AUTHORITY\SYSTEM,HKEY_LOCAL_MACHINE\Software\Classes\CLSID\{6BC096B3-0CE6-11D1-BAAE-00C04FC2E20D}\InProcServer32\,%SystemRoot%\System32\iaspolcy.dll
