hostname,modulename,modulepath
EC481JYR,usbhub.sys,C:\Windows\system32\DRIVERS\
EC481JYR,rassstp.sys,C:\Windows\system32\DRIVERS\
EC481JYR,Ntfs.sys,C:\Windows\System32\Drivers\
EC481JYR,NETIO.SYS,C:\Windows\system32\drivers\
EC481JYR,intelppm.sys,C:\Windows\system32\DRIVERS\
EC481JYR,termdd.sys,C:\Windows\system32\DRIVERS\
EC481JYR,Fs_Rec.sys,C:\Windows\System32\Drivers\
EC481JYR,tcpip.sys,C:\Windows\System32\drivers\
EC481JYR,ntoskrnl.exe,C:\Windows\system32\
EC481JYR,mrxsmb.sys,C:\Windows\system32\DRIVERS\
EC481JYR,umbus.sys,C:\Windows\system32\DRIVERS\
EC481JYR,ksecpkg.sys,C:\Windows\System32\Drivers\
EC481JYR,Null.SYS,C:\Windows\System32\Drivers\
EC481JYR,hwpolicy.sys,C:\Windows\System32\drivers\
EC481JYR,dump_pciidex.sys,C:\Windows\System32\Drivers\
EC481JYR,VIDEOPRT.SYS,C:\Windows\System32\drivers\
EC481JYR,wfplwf.sys,C:\Windows\system32\DRIVERS\
EC481JYR,lltdio.sys,C:\Windows\system32\DRIVERS\
EC481JYR,mpsdrv.sys,C:\Windows\System32\drivers\
EC481JYR,compbatt.sys,C:\Windows\system32\DRIVERS\
EC481JYR,tdx.sys,C:\Windows\system32\DRIVERS\
EC481JYR,ACPI.sys,C:\Windows\system32\drivers\
EC481JYR,spsys.sys,C:\Windows\system32\drivers\
EC481JYR,ks.sys,C:\Windows\system32\DRIVERS\
EC481JYR,pci.sys,C:\Windows\system32\drivers\
EC481JYR,mssmbios.sys,C:\Windows\system32\DRIVERS\
EC481JYR,vdrvroot.sys,C:\Windows\system32\drivers\
EC481JYR,VBoxSF.sys,C:\Windows\System32\drivers\
EC481JYR,ndis.sys,C:\Windows\system32\drivers\
EC481JYR,CompositeBus.sys,C:\Windows\system32\DRIVERS\
EC481JYR,dump_dumpfve.sys,C:\Windows\System32\Drivers\
EC481JYR,peauth.sys,C:\Windows\system32\drivers\
EC481JYR,netbt.sys,C:\Windows\System32\DRIVERS\
EC481JYR,CI.dll,C:\Windows\system32\
EC481JYR,cng.sys,C:\Windows\System32\Drivers\
EC481JYR,PCIIDEX.SYS,C:\Windows\system32\drivers\
EC481JYR,bowser.sys,C:\Windows\system32\DRIVERS\
EC481JYR,volmgr.sys,C:\Windows\system32\drivers\
EC481JYR,rspndr.sys,C:\Windows\system32\DRIVERS\
EC481JYR,cdrom.sys,C:\Windows\system32\DRIVERS\
EC481JYR,rdpencdd.sys,C:\Windows\system32\drivers\
EC481JYR,ksecdd.sys,C:\Windows\System32\Drivers\
EC481JYR,CmBatt.sys,C:\Windows\system32\DRIVERS\
EC481JYR,fwpkclnt.sys,C:\Windows\System32\drivers\
EC481JYR,luafv.sys,C:\Windows\system32\drivers\
EC481JYR,pcw.sys,C:\Windows\System32\drivers\
EC481JYR,spldr.sys,C:\Windows\System32\Drivers\
EC481JYR,hidusb.sys,C:\Windows\system32\DRIVERS\
EC481JYR,kdcom.dll,C:\Windows\system32\
EC481JYR,win32k.sys,C:\Windows\System32\
EC481JYR,Wdf01000.sys,C:\Windows\system32\drivers\
EC481JYR,atapi.sys,C:\Windows\system32\drivers\
EC481JYR,msisadrv.sys,C:\Windows\system32\drivers\
EC481JYR,mup.sys,C:\Windows\System32\Drivers\
EC481JYR,fltmgr.sys,C:\Windows\system32\drivers\
EC481JYR,nsiproxy.sys,C:\Windows\system32\drivers\
EC481JYR,dump_msahci.sys,C:\Windows\System32\Drivers\
EC481JYR,CLFS.SYS,C:\Windows\system32\
EC481JYR,VBoxGuest.sys,C:\Windows\system32\DRIVERS\
EC481JYR,mouhid.sys,C:\Windows\system32\DRIVERS\
EC481JYR,srvnet.sys,C:\Windows\System32\DRIVERS\
EC481JYR,USBPORT.SYS,C:\Windows\system32\DRIVERS\
EC481JYR,Beep.SYS,C:\Windows\System32\Drivers\
EC481JYR,msahci.sys,C:\Windows\system32\drivers\
EC481JYR,ataport.SYS,C:\Windows\system32\drivers\
EC481JYR,rdyboost.sys,C:\Windows\System32\drivers\
EC481JYR,portcls.sys,C:\Windows\system32\drivers\
EC481JYR,rdbss.sys,C:\Windows\system32\DRIVERS\
EC481JYR,fvevol.sys,C:\Windows\System32\DRIVERS\
EC481JYR,volsnap.sys,C:\Windows\system32\drivers\
EC481JYR,mcupdate.dll,C:\Windows\system32\mcupdate_Genu
EC481JYR,BATTC.SYS,C:\Windows\system32\DRIVERS\
EC481JYR,srv2.sys,C:\Windows\System32\DRIVERS\
EC481JYR,netbios.sys,C:\Windows\system32\DRIVERS\
EC481JYR,AgileVpn.sys,C:\Windows\system32\DRIVERS\
EC481JYR,hal.dll,C:\Windows\system32\
EC481JYR,mountmgr.sys,C:\Windows\System32\drivers\
EC481JYR,WMILIB.SYS,C:\Windows\system32\drivers\
EC481JYR,raspptp.sys,C:\Windows\system32\DRIVERS\
EC481JYR,wanarp.sys,C:\Windows\system32\DRIVERS\
EC481JYR,crashdmp.sys,C:\Windows\System32\Drivers\
EC481JYR,srv.sys,C:\Windows\System32\DRIVERS\
EC481JYR,amdxata.sys,C:\Windows\system32\drivers\
EC481JYR,CLASSPNP.SYS,C:\Windows\system32\drivers\
EC481JYR,HDAudBus.sys,C:\Windows\system32\DRIVERS\
EC481JYR,HTTP.sys,C:\Windows\system32\drivers\
EC481JYR,pacer.sys,C:\Windows\system32\DRIVERS\
EC481JYR,blbdrive.sys,C:\Windows\system32\DRIVERS\
EC481JYR,RDPCDD.sys,C:\Windows\System32\DRIVERS\
EC481JYR,i8042prt.sys,C:\Windows\system32\DRIVERS\
EC481JYR,mrxsmb20.sys,C:\Windows\system32\DRIVERS\
EC481JYR,USBD.SYS,C:\Windows\system32\DRIVERS\
EC481JYR,dxg.sys,C:\Windows\System32\drivers\
EC481JYR,HIDCLASS.SYS,C:\Windows\system32\DRIVERS\
EC481JYR,fileinfo.sys,C:\Windows\system32\drivers\
EC481JYR,VBoxMouse.sys,C:\Windows\system32\DRIVERS\
EC481JYR,swenum.sys,C:\Windows\system32\DRIVERS\
EC481JYR,rdprefmp.sys,C:\Windows\system32\drivers\
EC481JYR,WDFLDR.SYS,C:\Windows\system32\drivers\
EC481JYR,ndistapi.sys,C:\Windows\system32\DRIVERS\
EC481JYR,rasl2tp.sys,C:\Windows\system32\DRIVERS\
EC481JYR,raspppoe.sys,C:\Windows\system32\DRIVERS\
EC481JYR,VBoxDisp.dll,C:\Windows\System32\
EC481JYR,vga.sys,C:\Windows\System32\drivers\
EC481JYR,Dxapi.sys,C:\Windows\System32\drivers\
EC481JYR,ndiswan.sys,C:\Windows\system32\DRIVERS\
EC481JYR,watchdog.sys,C:\Windows\System32\drivers\
EC481JYR,rdpbus.sys,C:\Windows\system32\DRIVERS\
